精算申請ID,関連決裁番号,支出日,事前承認日,精算決裁日,金額税込,人数,社外人数,インボイス,店舗,申請科目,社内役職,社外役職,事後理由
EXP-2026-1077,ADV-2026-1077,2026-06-10,2026-06-08,2026-06-13,33116,5,2,登録,ラーメン日高,会議費,係長,担当者,
EXP-2026-1078,ADV-2026-1078,2026-06-11,2026-06-09,2026-06-14,40880,6,4,登録,カレーハウス,会議費,課長,担当者,
EXP-2026-1079,ADV-2026-1079,2026-06-12,2026-06-10,2026-06-15,49026,7,6,登録,うどん さぬき,会議費,部長,担当者,
EXP-2026-1080,ADV-2026-1080,2026-06-13,2026-06-11,2026-06-16,14388,2,1,登録,カフェ会議室,会議費,担当者,担当者,
EXP-2026-1081,ADV-2026-1081,2026-06-14,2026-06-12,2026-06-17,22153,3,2,登録,ファミレス ガスト,会議費,主任,担当者,
EXP-2026-1082,ADV-2026-1082,2026-06-15,2026-06-13,2026-06-18,30298,4,3,登録,喫茶室ルノアール,会議費,係長,担当者,
EXP-2026-1083,ADV-2026-1083,2026-06-16,2026-06-14,2026-06-19,38824,5,4,登録,ホテルラウンジ,会議費,課長,担当者,
EXP-2026-1084,ADV-2026-1084,2026-06-17,2026-06-15,2026-06-20,47731,6,5,登録,定食屋 大戸屋,会議費,部長,担当者,
EXP-2026-1085,ADV-2026-1085,2026-06-18,2026-06-16,2026-06-21,57019,7,6,登録,中華料理 福しん,会議費,担当者,担当者,
EXP-2026-1086,ADV-2026-1086,2026-06-19,2026-06-17,2026-06-22,16672,2,1,登録,ドトール,会議費,主任,担当者,
EXP-2026-1087,ADV-2026-1087,2026-06-20,2026-06-18,2026-06-23,25578,3,2,登録,サイゼリヤ,会議費,係長,担当者,
EXP-2026-1088,ADV-2026-1088,2026-06-21,2026-06-19,2026-06-24,34866,4,3,登録,そば処 やぶ,会議費,課長,担当者,
EXP-2026-0413,ADV-2026-0413,2026-06-12,2026-06-09,2026-06-15,88000,4,2,登録,鉄板焼 銀座うかい亭,会議費,専務,担当者,
EXP-2026-1089,ADV-2026-1089,2026-06-22,2026-06-20,2026-06-25,44534,5,2,登録,焼肉ライク,会議費,部長,担当者,
EXP-2026-1090,ADV-2026-1090,2026-06-23,2026-06-21,2026-06-26,38500,14,0,登録,社内懇親会 宴会場,福利厚生費,担当者,,
